idInterno;codigoExterno;codigoOriginal;producto;clase;tipo;origen;archivado;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
PT0097;492;492;MF 25-7K-2CA+EM;PT;G;csv;;0;25;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0
PT0098;652;652;MF 25-7-7+EM;PT;G;csv;;0;25;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0
PT0099;648;648;MF 25-8-14+EM;PT;G;csv;;0;25;0;0;0;0;8;14;0;0;0;0;0;0;0;0;0;0;0;0
PT0100;159;159;MF 26-0-17+EM;PT;G;csv;;0;26;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
PT0101;176;176;MF 26-1-12-+EM;PT;G;csv;;0;26;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0102;619;619;MF 26 7 6 + EM;PT;G;csv;;0;26;0;0;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0
PT0103;514;514;MF 26-1-11+EM;PT;G;csv;;0;26;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0
PT0104;512;512;MF 26-5-11+EM;PT;G;csv;;0;26;0;0;0;0;5;11;0;0;0;0;0;0;0;0;0;0;0;0
PT0105;476;476;MF 26-9-9+EM;PT;G;csv;;0;26;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0
PT0106;136;136;MF 27-17-0Ca;PT;G;csv;;0;27;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
PT0107;630;630;MF 27-0-14+EM;PT;G;csv;;0;27;0;0;0;0;0;14;0;0;5;0;0;0;0;0;0;2;0;0
PT0108;385;385;MF 27-15K-5S-2Si-0,80CO;PT;G;csv;;0.8;27;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
PT0109;445;445;MF 27-1-12-2Ca+EM;PT;G;csv;;0;27;0;0;0;0;1;12;2;0;0;0;0;0;0;0;0;0;0;0
PT0110;475;475;MF 27-1-7+EM;PT;G;csv;;0;27;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0
PT0111;653;653;MF 27-1-8+EM;PT;G;csv;;0;27;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0
PT0112;642;642;MF 27-3-12+EM;PT;G;csv;;0;27;0;0;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0113;536;536;MF 27-3-3+EM;PT;G;csv;;0;27;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0
PT0114;438;438;MF 27-4-3+EM;PT;G;csv;;0;27;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0
